full_text,tweet_english,sentiment
misal nambah hari pun kalo lepas gen sales semua gin mending gausah semua tiket embat calo scalper c kalo gitu cara mending kalian bikin konser khusu langgan scalper c aja gausah tajuk carat,"for example, if you add a day, if all the sales people are gone, it's better not to grab all the tickets, scalper C, if that's the case, it's better for you to hold a concert specifically for scalper C subscribers, no need for a carat title",Netral
wts seventeen right here in jakarta day 2 yellow north avail 2 tix no fee jual sesuai harga tikom aku urus sampe tiket fisik jual pindah section can provide any kinds of proof asal manuk akal no calo no jual ulang w highprice 17rh svt konser tiket,wts seventeen right here in jakarta day 2 yellow north avail 2 tix no fee sell according to ticket price i take care of it until physical ticket sell move section can provide any kinds of proof as long as it is reasonable no brokers no resale w highprice 17rh svt concert tickets,Netral
ikut jastip aja kakk ga calo cuma 150ktiket no dp tf sendiri via va loket feenya bayar kalo udah dapet tiket hit dm for details kak,"Just join Jastip, no brokers, only 150 tickets, no down payment, transfer via VA counter, pay the fee when you get the ticket, hit DM for details, sis",Netral
allah moga waktu bus konser indo gue dpt tiket festival queue depan barricade dibawainnya sama promotor bagus ngga problematik ticketing aman ngga calo ngeselin ikut war trus resell dg harga ngga ngotak,"God, I hope that when I'm on the Indonesian concert bus, I can get a ticket for the festival queue in front of the barricade, it's brought by a good promoter, no ticketing problems, safe, no annoying ticket scalpers who join the war and then resell at ridiculous prices",Positif
pantesan calo scammer tiket konser jelas jelas rugi gak usut sampe tuntas wkwkwk,no wonder the ticket scalper scammers are clearly at a loss and they don't investigate thoroughly hahaha,Negatif
tipu calo tiket konser,concert ticket scalper scam,Negatif
rill waktu the unity ak ngobrol sama bapak calo info kata tiket itu dapet isolop kasih sama promotor kata kalo konser kan butuh aman tp kalo polisi gamau dateng tiket kasih kita kurang lebih gt,"Really, when the Unity was talking to the info broker, he said the ticket was obtained by Isolop, he gave it to the promoter, he said that if the concert needs to be safe, but if the police don't want to come, the ticket will give us more or less gt.",Positif
ngeliet calo jual harga tiket 3 kali lipat jadi malessss deh padahal kan mau neng have fun nonton konser gituu jadi gak mood di halangin calooo,"Seeing ticket scalpers selling tickets at 3 times the price makes me feel lazy even though I want to have fun watching the concert, so I'm not in the mood when the scalpers get in the way",Negatif
ngerti ga sih knp orang2pada bilang jgn beli tiket sc sec calo orang embel2 beli tiket banyak biar calopada kapok biar harga tiket ga kek orgil promotor liat orang rela beli tiket mhal malah takut nbh naikin harga tiket tsbt di next konser,"Do you understand why people say not to buy tickets from ticket scalpers, people add a lot of tickets so that ticket scalpers will be discouraged so that the ticket prices don't look like fake ones? Promoters see that people are willing to buy expensive tickets, so they are afraid to increase the ticket prices for the next concert.",Negatif
gak jastip2 tiket konser tuh hilang sama kayak calo apa beda coba udah calo jastip paling fair war sendiri2 gak nebeng2 siapa cepat dapat,"If there are no jastip tickets, the concert tickets will disappear, just like ticket scalpers, what's the difference? If there are jastip scalpers, the fairest war is on their own, not just anyone who gets it first.",Positif
tiket konser seventeen hari pertama ludes netizen geram duga banyak calo,"Seventeen concert tickets sold out on the first day, netizens are furious, suspecting there are a lot of scalpers",Netral
sebenernya kalo pikir pikir pake tahu gw sedikit promotor kerjasama ngasih jatah tiket calo tuh kan aneh soal lebih untung kalo jual full lewat web kaya gituan tuh tiap konser mulu,"Actually, if you think about it, I know a little bit about promoters working together to give ticket scalpers a quota, it's strange because it's more profitable to sell the full ticket through a website like that for every concert.",Netral
tiket konser seventeen hari pertama ludes netizen geram duga banyak calo,"Seventeen concert tickets sold out on the first day, netizens are furious, suspecting there are a lot of scalpers",Netral
tiket konser seventeen hari pertama ludes netizen geram duga banyak calo,"Seventeen concert tickets sold out on the first day, netizens are furious, suspecting there are a lot of scalpers",Netral
tiket konser seventeen hari pertama ludes netizen geram duga banyak calo,"Seventeen concert tickets sold out on the first day, netizens are furious, suspecting there are a lot of scalpers",Netral
jujur lamalama gw jadi males konser warnya rem lg energynya ga enak bgt mulai dr scam sampe calo jual tiket ga ngotak blm lg tingkah promotor bikin capek mental bgt,"To be honest, over time I've become lazy about concerts, the energy is really bad, starting from scams to ticket scalpers who don't know what to do, not to mention the behavior of the promoters who make me really tired mentally.",Negatif
surat buka buat min ga si calo calo tiket konser apa usut org2 beneran ken nonton konser dapet tiket susah banget mana yang jual ga ngotak,"Open letter to you, bro, concert ticket brokers, are you investigating people who really want to go to the concert and get tickets? It's really hard to find out who's selling it or not.",Negatif
jastip tiket konser apa itumah calo organisir aja nama,"what is concert ticket jastip, just organize the name",Netral
sepengenpengennya kalian konser artis siapa g usah pernah beli calo even kalian mampu duit gausah lo pake duit banyak buat beli tiket venue udah sama akomodasi dont humor those leches,"no matter how much you want to go to an artist's concert, you don't need to buy a ticket, even if you can afford it, you don't need to spend a lot of money to buy a ticket, the venue already has accommodation, don't be humorous, those are leches",Netral
tau web emang calo tiket semua konser jadi gak cuma konser mecim aja liat konser lain kalo jual emang gak ngotak,"You know, the website actually brokers tickets for all concerts, so it's not just Mecim concerts, just look at other concerts, if you sell them, you don't really mind.",Netral
no walaupun aku bukan pegang membership gak adil rasa kalo pink sc gensale pegang membership notabene keluar uang lebih konser untuk besar chance mrk dpt tiket belum secured itu kalo gensale sgt rawan bot calo scammers,"No, even though I don't have a membership, it doesn't feel fair if Pink SC Gensale holds a membership, it means they spend more money for the concert to get a big chance, the tickets aren't secured, that's because Gensale is very vulnerable to bots, brokers, scammers",Positif
hilang sistem membership promotor lebih rugi fans sbg konsumen ga tindak solusi atas fraud hari jual tiket tipu reseller calo selalu di depan venue konser biaya membership jelas mala,"The promoter membership system is lost, fans as consumers do not take action to solve fraud on ticket sales days, cheating resellers, brokers are always in front of the concert venue, membership fees are clear, bad luck",Negatif
moga dapat tiket day 2 real carat sayang sama bong ingin nikmat live version sing along lagu2 seventeen vibe konser bukan calo atau orang2 fomo cuma mau bikin konten tiktod selamat member orang fomo,"hopefully i can get a real carat day 2 ticket, i love bong, i want to enjoy the live version of the seventeen vibe concert sing along songs, not a ticket scalper or FOMO people, i just want to make tiktok content, congratulations to the FOMO people",Positif
banget calo calo scammer luar sana jangan beli tiket the momentum cuma buat jual dengan harga tinggi plis konser buat chilzen beneran sayang ilichil aja biar tulus bagi semua,"There are so many scammers out there, don't buy tickets to The Momentum just to sell them at a high price, please make it a concert for real children, dear Ilichil, so that it will be sincere for everyone.",Positif
p ingfo cara jadi calo tiket konser,p info how to become a concert ticket scalper,Netral
dak paham kak kayak website jual tiket calo kali yah jepang sistem begini kak variasi harga dak gila kalo dak salah deh kayakny baru pertama kali konser indo website bgini,"I don't understand, sis, it's like a ticket scalper website, right? Japan has a system like this, sis, the price variations aren't crazy, if I'm not mistaken, it seems like this is the first time an Indonesian concert has a website like this.",Netral
gw sebel banget tiba2 algoritma gw banyak calo jual tiket soundcheck blue orange cat konser seventeen right here in jakarta,I'm really annoyed that suddenly my algorithm has a lot of ticket scalpers selling soundcheck tickets for the Blue Orange Cat Seventeen concert right here in Jakarta,Netral
buset tu tiket konser calo ampe 30jt edaaann mending beli motor aingmah haha,"That's a joke, a broker's concert ticket costs around 30 million, it's better to buy a motorbike haha",Netral
tiket konser bong calo,concert ticket scalper,Netral
gila mahal bener jastip aja cuma up ratus ribu doang lah calo pakai web puluh juta,"Crazy, it's really expensive, Jastip only charges hundreds of thousands, brokers use websites for tens of millions",Negatif
sama 127 berantas calo tiket konser,with 127 eradicating concert ticket scalpers,Netral
gua dpt nih calo tiket konser harga cepe ambil ga niihh mayan jir cepe cok klo beli web skrng harga 155 pas presale 155 dpt 2 tiket kek dh tp w tinggal war mikir dlu lama malam buat ambil apa ga mayan cepe doang,"I found this concert ticket scalper, the price is fast, grab it, isn't it? It's pretty fast, if you buy it on the website now the price is 155, during the presale, you get 2 tickets for 155, but I'm just going to think about it for a long time tonight to grab it or not, it's pretty fast",Netral
tips hindar tipu tiket konser siapa kalo beli tiket konser pakai calo eitss tetap hatihati yaa jangan kamu jadi korban tipu yuk cek konten bawah mari jadi konsumen cerdas peka transaksi,"Tips to avoid concert ticket fraud. Who knows, if you buy concert tickets using a ticket scalper, hey, be careful, don't be a victim of fraud. Check out the content below. Let's be smart consumers who are sensitive to transactions.",Negatif
gue salah 1 nekat beli lgsg web trus tuker tiket diprint krn ga keburu jir kek kurang dri jam sblm konser mulai soal gue nyari cat 4 calo tembak 3jt gilaaa ud gitu galak bngt calo ogah beli lah gue,"I was one of those reckless people who bought directly on the website and then exchanged printed tickets because I wasn't in a hurry, but less than an hour before the concert started, I looked for paint, 4 brokers shot 3 million, it was crazy, I was so fierce, the brokers didn't want to buy, I",Netral
ideeaa baguss nnti h7 konser jual buat coba beli tiket calo,"good idea, later on H7 the concert will be selling tickets to try to buy ticket scalpers",Positif
ngalamin sendiri nih sama dyandra nyari tiket ots ga dapet calo gak megang tiket malah mau bayarin tiket aku aku beli 20 menit konser mulai panic buying,"I experienced this myself with Dyandra, looking for OTS tickets, but I couldn't find them, the ticket scalper didn't even have the ticket, but instead wanted to pay for my ticket, I bought it 20 minutes after the concert, panic buying started",Netral
tp situ w dah ga naksir sama mas bandara w malah semsem sama mas calo cerita jalan dapetin tiket initu pledis member seventeen tau soale si calo bombardir dm mecima isi nyampe lah mereka nah waktu akhir konser pas aju nice,"But there I don't have a crush on Mr. Airport. In fact, I'm in love with the broker, telling me how to get tickets. Pledis Seventeen members know about the broker's bombardment of DMs. The content arrived and they arrived at the end of the concert when they arrived. Nice.",Netral
nah tahun kemudian alias h3 konser w ga dpt tiket akhir w pakai jasa calo rekomendasi temen eh tp kok malah jadi ikrib sama si mas calo ngelewatin banyak tualang buat dapetin tiket sama mas calo akhir hasil secure tiketnyatapiii,"Well, the following year, aka H3, I didn't get a ticket for the concert. In the end, I used a ticket scalper recommended by a friend, but I ended up getting close to the scalper. I went through a lot of trouble to get the ticket from the scalper. In the end, I secured the ticket. But...",Netral
pc harga pernah lebih mahal tiket konser jual calo,pc price ever more expensive concert tickets sold by scalpers,Negatif
lu harus kaca sama konser bawa si d akhir gmnaa lu liat ga tiket underpricelu liat ga sikon venue w ambil contoh pas wayv kmrn yaa calo mau beli tiket gedeg sumpah pake ngeyel kmrn dpt underprice dpt underprice,"You have to look at the concert and take the final d. How do you see if the tickets are underpriced? Do you see the venue? Take for example right at Wayv, yes, the broker wants to buy a big ticket, I swear, I swear, then I get an underprice, I get an underprice.",Netral
allaah tl gw stop gk lewat mulu perihal war tiket gak tenang mulu gw kalo liat bahas war tiket konser ngewar sendiri vs jastip vs calo vs world gw lah si ngewar sendiri pasrah deh,"Allaah, please stop, I'm not always talking about ticket wars. I'm always restless when I see discussions about concert ticket wars, fighting myself vs. jastip vs. brokers vs. the world. I'm the one fighting myself, I just give up.",Netral
beneran syukur waktu maksain nonton dapet tiket first hand jastip ato calo kayak insting gweh gak salaaahh trnyt walaupun ttp ken nonton konser the momentum,"I'm really thankful that when I forced myself to watch it, I got a first hand ticket from a ticket scalper or jastip, it was like my instincts were right, even though I still ended up watching the Momentum concert",Netral
manifesting semua cz dapet tiket konser 127 jakarta nanti harga tiket ga lejit venuenya private moga gaada calo jahat ikut ikut aamiin allah,"manifesting all because I got tickets for the 127 Jakarta concert. The ticket prices won't skyrocket. The venue is private. Hopefully there won't be any bad ticket scalpers involved. Amen, God willing.",Positif
hallo hallo mau tanya kalian pernah yang nonton konser thailand ga dan beli tiket calo wts anklo dm aku donkpwease,"Hello, hello, I want to ask, have you ever watched a Thai concert and bought tickets from a ticket scalper, if you can, DM me, please",Netral
wtb tiket konser juicy luicy vierratale opening pesenkopi heritage solo cari no calo calo,wtb juicy luicy vierratale concert tickets opening pesenkopi heritage solo looking for no brokers,Netral
wts 1 tiket cat 1b konser 2ne1 asia tour welcome back in jakarta tanggal 23 november 2024 qn 2 harga normal sesuai web dp dulu cod daerah jaktim jual tiba2 urus buat blackjack aja calo minggir dulu minat dm aja yaa,wts 1 cat 1b concert ticket 2ne1 asia tour welcome back in jakarta date november 23 2024 qn 2 normal price according to website dp first cod east jakarta area suddenly selling just take care of blackjack scalper step aside if interested just dm okay,Netral
dulu jaman 2016 2017 tiket konser kpop gak mahal sekarang 3 juta tuh udah max paling depan vip terus gak calocalo harga gede sekarang semenjak orkay ngikut begini gak ngotak malah pajak ppn makin naik promotor kasih harga gak ngotak,"In the past, in 2016 2017, Kpop concert tickets weren't expensive, now they're 3 million, that's the max at the front of VIP, and then there's no big price tag, now since Orkay has been following this, they don't mess around, but the VAT tax keeps going up, the promoters give prices, they don't mess around.",Negatif
ngebayangin gak bagi tiket konser seventeen gegara orkay fomo bisa afford tiket jasa calo ken ikut nonton aja udah bikin pala gue mau mledug,Just the thought of giving away Seventeen concert tickets because of Orkay Fomo's ability to afford tickets from a broker's service to come to watch already makes me want to gloat.,Netral
gak thailand gak korea gak indonesia calo tiket konser gak otak semua,"Not Thailand, not Korea, not Indonesia, concert ticket scalpers are all brainless",Netral
gila problem nya sama sini tiket konser calo selalu markup price gila gila masih aja beli yang bikin calo makin enak sendiri i pity the real mooyor and yinwar actually the team should find the solution asap f,"Crazy, the problem is the same here, the ticket scalpers always mark up the price like crazy, people still buy it to make it even better for the scalpers, I pity the real Mooyor and Yinwar, actually the team should find the solution, asap f",Netral
guys sedikit reminder mau beli tiket konser george harliono dihimbau jangan beli calo guys usaha aplikasi resmi kemarin banyak jadi orang2 kena tipu harga lebih mahal gak dapet tiket nya sama sekali,"Guys, a little reminder, if you want to buy tickets for George Harliono's concert, please don't buy from scalpers, guys. Yesterday, there were a lot of official application attempts, so people were cheated at higher prices and didn't get tickets at all.",Netral
alam temenku pernah beli calo udah masuk venue nonton konser tengah acara cek identitas tiket nyata ngga sesuai suruh keluar venue,"My friend once bought a ticket from a ticket scalper and entered the venue to watch a concert in the middle of the event, checked the identity of the ticket, it turned out it didn't match, and was told to leave the venue.",Netral
borong calo oasis batal jual tiket konser inggris irlandia,wholesale broker oasis cancels sale of england ireland concert tickets,Netral
kalo beli tiket pas hari h tukar tiketpas hari h konser calo yeay or nay,"If you buy tickets on the same day, exchange them on the same day as the concert, there are scalpers, yeah or nay",Netral
impi nonton konser reuni oasis pupus puluh ribu tiket batal jual oleh calo,"Dream of watching Oasis reunion concert shattered, tens of thousands of tickets cancelled by ticket scalpers",Netral
oasis batal 50 ribu tiket konser akibat calo,Oasis cancels 50 thousand concert tickets due to ticket scalpers,Netral
promotor batal puluh ribu tiket konser reuni oasis garagara calo,Promoter cancels tens of thousands of tickets for Oasis reunion concert due to scalpers,Netral
aku mau ngomong tentang komentar calo tiket konser,I want to talk about the comments of the concert ticket scalpers,Netral
orang tuh disakitin sekali udah gausa ulang masih berharapberharapberharap uda sering bohong tiket kata sold out sampe yang ngespill kalo kerja sama calo kalo artis mau konser masih bain mending si a bcde,"People have been hurt once and it's no use repeating it, still hoping, hoping, hoping, they often lie about tickets saying they're sold out, to the point where they get angry when they work with ticket scalpers, if an artist wants a concert and they're still okay, it's better to be a bcde",Negatif
fee jastip tiket konser ampe juta apa beda ama calo dah,"The fee for a concert ticket costs up to millions, what's the difference between brokers?",Netral
jujur lah mak gw tau kok even harga tiket konser beli calo jg blio tau,"Honestly, I know the price of concert tickets, even though scalpers buy them, you know too",Netral
jastip tiket konser sama calo apa beda,What's the difference between concert ticket sales and ticket scalpers?,Netral
makin skrg sm aja kek calo wkwkwk klo juta mah harus udh jamin bakal dapet tu tiket soal fee nya harga tiket konser jg,"Even now, even if it's a broker, if it's millions, you have to guarantee that you'll get a ticket. The fee is also the price of a concert ticket.",Netral
tiket konser musik atas 5jt rebut war sampek beli calo bisa beberapa kali lipat gak habis pikir sih,"Concert tickets for music worth over 5 million are fought over by scalpers and can be bought several times more, it's unbelievable",Netral
gimana indo dapat kecil tiket konser ampe 6jeti malah calo jual ampe 10 juta sokor gaji lebih gede konser 2jta aja udah protess nangiss banget guaa,How do Indonesians get concert tickets for as little as 6 jetties instead of brokers selling them for up to 10 million so the salary is bigger than a 2 million concert and I'm already crying so much I'm protesting,Netral
12 orang enih kan skalian aja buat cuci tangan sama issue lagi rame soal jangan tipu calo dimention direct buat tiket gratis aja susah klaim sampe hari h konser baru dikabarin padahal yang ngejanjiin,"12 people, right? Just wash your hands when the issue is busy, don't cheat brokers, direct mention for free tickets, it's hard to claim until the day of the concert, they're just told about it, even though they promised it.",Negatif
doa gak pernah dapet tiket konser arti favnya kalaupun dapet kena scam berkalikali dulu sama calo,"prayer never gets concert tickets, meaning his favorite, even if he did get them, he was scammed many times by ticket scalpers",Negatif
report aja tu akun calo anjing kang jualin tiket konser liat aja postingan promosiin titip pesan tiket ribet karna gak naikin harga tiket lisa,"Just report that account, that dog scalper, bro, selling concert tickets, just look at the promotional post asking for tickets, it's complicated because they don't increase the ticket price, Lisa",Netral
dekat hari h gelisah banget karna blom dpt tiket bahkan dah sempet kena scam akhir nyiapin plan b mau cari cod an calo mau ngemper dbl pasti kedengeran emang nekat sampe aku beli lb merch tiket kereta dri mlgwaru sbelum punya tiket konser,"Near the day itself, I was really anxious because I hadn't gotten a ticket and had even been scammed. In the end, I prepared a plan B to look for COD and ticket scalpers who wanted to go to the store. It must have sounded reckless, so I bought LB of train ticket merch from Mlgwaru before I had a concert ticket.",Negatif
yg mpl emng kaya war tiket konser kpop yang grandfinal banyak calo,The ones that are really good are like the K-pop concert ticket wars where the grand finale is full of scalpers,Positif
dips haloo sini yang pernah jadi korban calo tiket konser coldplay kalo adaa minta reply yaa thank you,"Dips hello here, anyone who has ever been a victim of a ticket scalper for a Coldplay concert, if there is anyone, please reply, thank you",Netral
mau ikut moment baik first konser aku tuh pas youth 2018 aku nekat doang jkt dr sby aku ga tiket emang dah niat cari calo jgndicontoh konser dah jalan 30 menit alhamdulillah aku dpt tiket lgsg masuk dpn ku pas bgt y,"I want to join a good moment, my first concert was at Youth 2018. I was just reckless. I didn't have a ticket from Surabaya. I really intended to look for a ticket scalper. For example, the concert had been going on for 30 minutes. Thank God, I got a ticket and went straight in front of me. It was perfect.",Positif
iya kak loket emang aman soal emang begitu kan aku keponya sama reaksi jot kalo tahu 1 akun beli lebih 1 pas tukar tiket kalo bolehin otomatis cara bisa buat jalan nakal calo buat next,"Yes, sis, the counter is indeed safe, that's how it is, I'm curious about Jot's reaction if he finds out that 1 account buys more than 1 when exchanging tickets, if it's allowed, it's automatic, the method can be used to cheat ticket scalpers for the next one.",Positif
how do i explain to my parents kalo jastip tiket konser sama calo beda,How do I explain to my parents that concert ticket sales are different from ticket scalpers?,Netral
sholat bukan malah ngehold payment tiket konser jkt48 hei calo kasi bom dapet tiket,"Praying instead of holding payment for JKT48 concert tickets, hey brokers who give bombs get tickets",Netral
aman soal aku pas konser graduation shani beli calo soal tipu pas beli tiket x ahirnya aku minta bantu sama bapak staff2 ada situ terus beli calo deh udah jadi gelang yah,"safe about me at Shani's graduation concert, I bought a ticket from a scalper about being cheated when buying tickets x finally I asked for help from the staff there and then bought the scalper and it became a bracelet yeah",Positif
mau nanya dong guys klo misal beli tiket konser jkt48 calo calo gtu aman ga yaa baru pertma kli soal,"I want to ask, guys, for example, is it safe to buy JKT48 concert tickets from brokers like that? Is this the first time I'm asking the question",Positif
kerja samping ku skg jadi calo tiket konser,My side job now is being a concert ticket scalper,Netral
orang orang sangat pingin nonton konserfestival sampe cari calo bukan kalo udah kalah war tiket yaudah gk rejekinya nonton konserfestival hari gitu aja ga sih,"People really want to watch the concert festival until they look for ticket scalpers, right? If they've lost the ticket war, then it's not their luck to watch the concert festival on that day, right?",Netral
sumpah ini konser tuh bener2 apa jadi pas ngonser tuh haid hari pertama trs ga bagi tiket bayang ga perut pinggang kaki lg sakit tambah blm pasti tiket sampe aku nanya2 calo aku tinggal tp calo nyariin aku cobapadahl aku udah pindah tempat,"I swear this concert is real, what if I went to the concert on the first day of my period and they didn't give me tickets? Imagine my stomach, waist, and legs were hurting and I wasn't sure about the tickets until I asked the ticket scalpers. I left but the scalpers tried to find me even though I had already moved.",Netral
moga day6 makin sukses banyak bahagia berkah menghampiriii buat myday moga kalo day6 konser indo promotor makin benah lebih baik makin rata sejahtera bisa bagi tiket konser calo p,"Hopefully Day6 will be more successful and more happy and blessings will come to MyDay. Hopefully if Day6 concerts are held in Indonesia, the promoter will improve and be better and more prosperous. They can share concert tickets with ticket scalpers.",Positif
dah promotor konser tahun depan jual tiket ots aja biar gk alas cancel war jg gk dipenuhin calo yang sok sok jastip gk yang pake bot balik aja sistem purba,"Well, next year's concert promoter will just sell special tickets so that there won't be a cancel war and it won't be filled with brokers who pretend to be fake, don't use bots, just go back to the old system",Negatif
bayangin aja pas hari h konser promotor kerjasama sama calo obral tiket jadi 200rb400rb,"Just imagine, on the day of the concert, the promoter collaborates with ticket scalpers to sell tickets for 200,000-400,000",Netral
mulai kompak aja usah beli tiket tp susah sih orang kaya indo tone deaf lebih suka pamer story hedon ketimbang aksi charity lagi saat indonesia beli tiket konser pake sistem undi jadi calo promot,"start to be united, just buy tickets but it's hard, rich Indonesian people who are deaf prefer to show off hedonistic stories rather than charity actions again when Indonesia buys concert tickets using a lottery system to become a promo broker",Negatif
woy kocak tadi bcis harga tiket calo bnrn ga ngotak bgt masa iya konser udh mulai 30 menit calo nawarin day6 section green 2 5jt bejirr lucu ada calo ngatain myday yeu beli bokekk yee kocakk lu kalo gada yang bokek ga ada yang beli jinkk,"Wow, that was really funny, the ticket prices for brokers really don't really matter, but the concert has started in 30 minutes, the brokers are offering day6 section green 2,5 million, it's really funny, there are brokers who are keeping my day, you buy it, yeah, it's hilarious, if there's nothing broke, no one will buy it.",Netral
